Player Name,Player ID,Team,Overall Grade,Solo Tackles,Assists,Forced Fumbles,Sacks,Interceptions,Offense Snaps Played,Penalties,Sacks Allowed,Targets,Receptions,Receiving Yards,Receiving Touchdowns,Yards Per Reception,Carries,Rushing Yards,Rushing Touchdowns,Yards Per Attempt,Fumbles,Dropbacks,Attempts,Passing Yards,Passing Touchdowns,Punts,Punt Gross Avg.,Long,Pinned Inside the 20,Kickoffs,FG Attempted,FG Made,50+ FG Attempted,50+ FG Made,PAT Attempted,PAT Made
Jeremiah Ledbetter,11960,JAX,41.9,6.0,8.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaac Rochell,11980,LV,62.5,6.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua Holsey,11990,LV,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Tocho,12000,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Mobley,11690,DEN,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlton Agudosi,12010,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dedric Ward,11730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Davis,12040,LAC,51.4,38.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Magee,12030,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wes Lunt,12050,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayon Brown,11910,LV,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collin Bevins,12080,CLV,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Shaheen,11800,MIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
